client_id,name,email,date_of_birth,country,account_balance
,Client 0,client0@example.com,1994-11-15,USA,90134.2
d0a29d75-bf04-4651-8f59-6d086e6a2bda,,client1@example.com,1994-11-14,Unknown,57195.83
11ed0809-68ea-436e-9107-cbcc8a59d7cd,Client 2,invalid-email,1994-11-13,Germany,93247.76
d80c8c64-4b45-42b0-a0a5-d554aec20117,Client 3,client3@example.com,invalid-date,France,28024.3
943f5e38-9a40-4c49-b6d0-0610b8b41f13,Client 4,client4@example.com,1994-11-11,France,invalid-balance
39efdef1-4ce2-4a85-9f2e-80914500a661,Client 5,client5@example.com,1994-11-10,Canada,68184.1
b412ebc1-f3e2-400b-a1c3-51860cb45c5d,Client 6,client6@example.com,1994-11-09,Germany,53262.97
8af8b722-6534-479b-bbff-0cbf36403d37,Client 7,client7@example.com,1994-11-08,France,13107.09
be3cf80d-3fc6-4b0d-8e05-b93721971862,Client 8,client8@example.com,1994-11-07,UK,89368.5
7bf4d546-ec52-4e7f-b68e-171bb3d190e2,Client 9,client9@example.com,1994-11-06,UK,8912.83
1a24feff-050c-42c7-943c-1801e47d8e04,Client 10,client10@example.com,1994-11-05,USA,58074.37
cf333c64-d883-45af-9b93-c79b42059c1b,Client 11,client11@example.com,1994-11-04,Canada,2244.89
1117b854-343a-485a-87ba-f7682cf6e017,Client 12,client12@example.com,1994-11-03,France,98294.83
474a81a6-4360-4334-aed6-41c96a7b777c,Client 13,client13@example.com,1994-11-02,Germany,74216.52
b7ada3c1-6d14-405d-8d03-16da4ba26968,Client 14,client14@example.com,1994-11-01,Germany,44452.38
9d317745-4c7a-4784-bb27-5d83559433be,Client 15,client15@example.com,1994-10-31,USA,74352.14
4d5f6718-adc9-40c3-aaa1-f621f67b378f,Client 16,client16@example.com,1994-10-30,France,13980.84
5f959900-7bdb-49cc-8ff6-bd73c45c1be6,Client 17,client17@example.com,1994-10-29,Germany,74811.38
305a28dd-3bee-4396-8942-5f3907efeada,Client 18,client18@example.com,1994-10-28,Canada,60599.64
5818eaf4-6b44-411f-8075-b4291d056cce,Client 19,client19@example.com,1994-10-27,Germany,80344.32
bbd8c32b-86e0-48b2-b534-38e7a1cb5aeb,Client 20,client20@example.com,1994-10-26,Canada,43776.5
a7e5cc76-871f-47b2-b6cd-0d5441813ae3,Client 21,client21@example.com,1994-10-25,France,84324.43
5dd98638-de4e-4f70-804f-9d1044440041,Client 22,client22@example.com,1994-10-24,Germany,34415.49
9012b4df-3be9-47fb-b4e1-d36c152d452e,Client 23,client23@example.com,1994-10-23,USA,65633.27
ed7fd2db-c507-42cc-b5be-1b475a2178f3,Client 24,client24@example.com,1994-10-22,Canada,98400.41
3d206f03-3fa2-4c24-a286-50478d0ad4b2,Client 25,client25@example.com,1994-10-21,UK,39276.16
3380e677-2c66-46ac-99b4-c6ccb05805a9,Client 26,client26@example.com,1994-10-20,France,31870.2
483b33cc-0581-4a89-9ce6-47cd73cf2b49,Client 27,client27@example.com,1994-10-19,France,56164.59
f920294d-b247-4de5-a238-2c7cf36ee6b1,Client 28,client28@example.com,1994-10-18,France,47.99
d1081395-af17-4a16-8881-a1cda24c0629,Client 29,client29@example.com,1994-10-17,UK,5116.52
86db03c7-b4b9-4acd-b304-dec33534e041,Client 30,client30@example.com,1994-10-16,Canada,80255.2
d3ca7fba-7563-4c3e-979f-288475923735,Client 31,client31@example.com,1994-10-15,USA,84900.61
21466804-8cbe-4d1f-9be5-d1438496b75d,Client 32,client32@example.com,1994-10-14,France,8173.7
eae641a5-7858-4712-b55a-f3384d163cc7,Client 33,client33@example.com,1994-10-13,USA,90955.95
7c23ab88-d10e-46e1-b9d0-71a5cca02e0f,Client 34,client34@example.com,1994-10-12,France,42303.49
db9e5ab8-0c82-40bc-b277-d34953492c67,Client 35,client35@example.com,1994-10-11,USA,95650.75
8993f5fd-643a-49a3-967c-b5a36aeb32d2,Client 36,client36@example.com,1994-10-10,Canada,20420.25
deab5900-b1b5-4c4b-bd4a-d47863b34d0f,Client 37,client37@example.com,1994-10-09,France,14800.29
62f9e275-6f54-4625-bced-39a1de0213ce,Client 38,client38@example.com,1994-10-08,UK,63957.11
e0c4ecd2-bee3-4e5b-8e86-fdcaefa395c4,Client 39,client39@example.com,1994-10-07,UK,70034.65
db55e652-205f-4b98-b023-1024d18c99a1,Client 40,client40@example.com,1994-10-06,France,77175.15
71977ba8-7f65-4bfb-84b6-ca18cd42f88f,Client 41,client41@example.com,1994-10-05,France,31114.82
b38c7d5d-8bb3-43dd-bf9f-5ac984e7d940,Client 42,client42@example.com,1994-10-04,Germany,9945.49
147f4a73-f218-46f4-84c9-9e83362cc3a3,Client 43,client43@example.com,1994-10-03,Germany,88877.1
4abe3721-54c1-472b-9d3b-b081bd29d934,Client 44,client44@example.com,1994-10-02,USA,47359.44
187e6db4-ae10-468d-8cea-04962746397f,Client 45,client45@example.com,1994-10-01,UK,74010.84
687b7692-6690-4c76-9f40-e348a463aab3,Client 46,client46@example.com,1994-09-30,Canada,12446.49
d114e616-0517-486c-8907-d36e1353badb,Client 47,client47@example.com,1994-09-29,Canada,39697.15
8290ae7f-7e3e-48ab-9db8-254f581166f3,Client 48,client48@example.com,1994-09-28,USA,8455.25
45119a6a-3f76-4e6f-b4b7-e417f277ba05,Client 49,client49@example.com,1994-09-27,Germany,3458.13
9f9a4200-b290-4dab-af1d-831b434e1353,Client 50,client50@example.com,1994-09-26,France,20147.58
6c0883be-5386-4643-be37-777c11a9600f,Client 51,client51@example.com,1994-09-25,France,19402.05
c7046b1d-3368-44e2-b6c7-4ef6ce5dd2ea,Client 52,client52@example.com,1994-09-24,Germany,25678.73
2cbae2a5-9db8-47fb-ad80-7a5bdcf7cf35,Client 53,client53@example.com,1994-09-23,USA,25304.4
877df464-24a1-4165-8c95-345f1199820f,Client 54,client54@example.com,1994-09-22,Germany,23613.46
0e50ae38-3439-4492-b612-07299f71f70b,Client 55,client55@example.com,1994-09-21,UK,11802.28
25333d51-5793-46e1-882f-d76b61b99062,Client 56,client56@example.com,1994-09-20,Canada,23123.08
926fe27f-e38e-494b-a711-5b6816c9e1ef,Client 57,client57@example.com,1994-09-19,Canada,26544.05
f97c2a63-7c4c-4335-be4f-5fc6d658c55e,Client 58,client58@example.com,1994-09-18,USA,70665.41
8e196740-22d6-4241-9f9e-e4429f6a5c09,Client 59,client59@example.com,1994-09-17,Germany,93257.33
540d6de8-95a1-4fc9-978a-f04b16766a54,Client 60,client60@example.com,1994-09-16,Germany,67748.27
